id,event_type,route,port_id,severity,description,event_date,source
289,geopolitical,Australia-Gangavaram,11,High,[Mundra / Australia-Gangavaram] Canal transit quota reduction increasing reservation auction premiums.,2024-04-14,Ministry Trade Notice
290,freight_anomaly,Indonesia-Gangavaram,4,Medium,[Dhamra / Indonesia-Gangavaram] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2023-09-16,FreightIQ Anomaly Engine
291,freight_anomaly,Australia-Mundra,31,Low,[Rotterdam / Australia-Mundra] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2026-01-20,Baltic Exchange Market Monitor
292,weather,Australia-Paradip,1,High,[Paradip / Australia-Paradip] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2023-09-28,India Meteorological Department (IMD)
293,weather,Australia-Mundra,28,Low,[Singapore / Australia-Mundra] Dense fog conditions restricting channel navigation to daylight hours only.,2023-08-22,JTWC Cyclone Warning
294,port_congestion,USA-Gangavaram,9,Medium,[Kamarajar (Ennore) / USA-Gangavaram] High yard inventory utilization (>92%) slowing down discharge rates.,2023-07-14,Terminal Operations Log
295,geopolitical,USA-Visakhapatnam,14,Low,[Cochin / USA-Visakhapatnam] Export tariff modification announced by major coal-producing authority.,2021-08-23,Maritime Security Advisory
296,port_congestion,USA-Paradip,3,Low,[Gangavaram / USA-Paradip] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2024-12-27,AIS Congestion Tracker
297,weather,Australia-Mundra,24,High,[Maputo / Australia-Mundra] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2023-01-21,Marine Weather Routing Service
298,port_congestion,USA-Mundra,29,Low,[Port Klang / USA-Mundra] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2021-03-08,Terminal Operations Log
299,geopolitical,Australia-Dhamra,1,Low,[Paradip / Australia-Dhamra] Export tariff modification announced by major coal-producing authority.,2023-11-14,Lloyd's List Intelligence
300,freight_anomaly,USA-Gangavaram,1,Low,[Paradip / USA-Gangavaram] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2025-01-06,FreightIQ Anomaly Engine
301,port_congestion,USA-Gangavaram,24,Medium,[Maputo / USA-Gangavaram] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2023-10-08,Port Authority Circular
302,port_congestion,Indonesia-Dhamra,11,Medium,[Mundra / Indonesia-Dhamra] High yard inventory utilization (>92%) slowing down discharge rates.,2023-05-31,AIS Congestion Tracker
303,geopolitical,Indonesia-Visakhapatnam,12,Medium,[Kandla (Deendayal) / Indonesia-Visakhapatnam] Export tariff modification announced by major coal-producing authority.,2026-02-13,Lloyd's List Intelligence
304,port_congestion,Indonesia-Paradip,18,Medium,[Port Hedland / Indonesia-Paradip] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2021-07-05,Port Authority Circular
305,weather,Australia-Paradip,3,Medium,[Gangavaram / Australia-Paradip] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2023-07-04,Marine Weather Routing Service
306,weather,Australia-Mundra,1,Medium,[Paradip / Australia-Mundra] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2022-04-11,Marine Weather Routing Service
307,weather,Indonesia-Mundra,20,Medium,[Tanjung Priok / Indonesia-Mundra] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2025-04-20,JTWC Cyclone Warning
308,geopolitical,Australia-Visakhapatnam,7,Medium,[Kolkata / Australia-Visakhapatnam] Canal transit quota reduction increasing reservation auction premiums.,2022-08-22,Ministry Trade Notice
309,port_congestion,Indonesia-Gangavaram,18,Medium,[Port Hedland / Indonesia-Gangavaram] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2024-02-29,AIS Congestion Tracker
310,geopolitical,Australia-Paradip,13,Medium,[Nhava Sheva (JNPT) / Australia-Paradip] Export tariff modification announced by major coal-producing authority.,2022-04-05,Ministry Trade Notice
311,weather,Mozambique-Paradip,18,Low,[Port Hedland / Mozambique-Paradip] Dense fog conditions restricting channel navigation to daylight hours only.,2021-05-27,Marine Weather Routing Service
312,weather,Australia-Haldia,7,Low,[Kolkata / Australia-Haldia] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2024-02-05,JTWC Cyclone Warning
313,port_congestion,Australia-Visakhapatnam,3,Medium,[Gangavaram / Australia-Visakhapatnam] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2025-05-29,Port Authority Circular
314,freight_anomaly,Australia-Gopalpur,15,Medium,[Hay Point / Australia-Gopalpur] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2024-11-20,FreightIQ Anomaly Engine
315,weather,Australia-Mundra,19,High,[Balikpapan / Australia-Mundra] Dense fog conditions restricting channel navigation to daylight hours only.,2022-04-12,India Meteorological Department (IMD)
316,port_congestion,Russia-Visakhapatnam,26,Low,[Vostochny / Russia-Visakhapatnam] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2022-11-19,Port Authority Circular
317,freight_anomaly,Australia-Gopalpur,15,Medium,[Hay Point / Australia-Gopalpur] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2024-09-10,Clarksons Intelligence
318,port_congestion,Australia-Visakhapatnam,17,Medium,[Newcastle / Australia-Visakhapatnam] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2024-11-22,Terminal Operations Log
319,port_congestion,Mozambique-Visakhapatnam,29,Low,[Port Klang / Mozambique-Visakhapatnam] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2023-01-05,Port Authority Circular
320,port_congestion,Australia-Dhamra,21,Medium,[Samarinda / Australia-Dhamra] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2025-11-02,Port Authority Circular
321,freight_anomaly,USA-Paradip,5,Medium,[Gopalpur / USA-Paradip] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2022-04-09,FreightIQ Anomaly Engine
322,weather,Australia-Dhamra,25,Low,[Beira / Australia-Dhamra] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2025-02-25,Marine Weather Routing Service
323,port_congestion,Indonesia-Dhamra,2,Medium,[Visakhapatnam / Indonesia-Dhamra] High yard inventory utilization (>92%) slowing down discharge rates.,2025-12-27,Port Authority Circular
324,port_congestion,Indonesia-Dhamra,8,Low,[Chennai / Indonesia-Dhamra] High yard inventory utilization (>92%) slowing down discharge rates.,2024-04-25,Terminal Operations Log
325,geopolitical,Australia-Gopalpur,31,High,[Rotterdam / Australia-Gopalpur] Export tariff modification announced by major coal-producing authority.,2023-08-24,Ministry Trade Notice
326,port_congestion,Australia-Dhamra,11,High,[Mundra / Australia-Dhamra] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2021-09-22,AIS Congestion Tracker
327,weather,USA-Paradip,13,Low,[Nhava Sheva (JNPT) / USA-Paradip] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2024-02-23,JTWC Cyclone Warning
328,weather,Australia-Haldia,18,Medium,[Port Hedland / Australia-Haldia] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2022-02-04,JTWC Cyclone Warning
329,freight_anomaly,Indonesia-Gangavaram,29,High,[Port Klang / Indonesia-Gangavaram] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2021-08-30,FreightIQ Anomaly Engine
330,port_congestion,Indonesia-Dhamra,5,Low,[Gopalpur / Indonesia-Dhamra] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2022-01-09,Terminal Operations Log
331,weather,Indonesia-Dhamra,15,Low,[Hay Point / Indonesia-Dhamra] Dense fog conditions restricting channel navigation to daylight hours only.,2021-10-29,India Meteorological Department (IMD)
332,freight_anomaly,Indonesia-Haldia,13,High,[Nhava Sheva (JNPT) / Indonesia-Haldia] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2025-04-04,Baltic Exchange Market Monitor
333,port_congestion,Australia-Paradip,31,Medium,[Rotterdam / Australia-Paradip] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2022-03-05,Port Authority Circular
334,port_congestion,Russia-Visakhapatnam,10,Medium,[Tuticorin (V.O.C.) / Russia-Visakhapatnam] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2022-02-03,Port Authority Circular
335,freight_anomaly,Indonesia-Visakhapatnam,9,Medium,[Kamarajar (Ennore) / Indonesia-Visakhapatnam] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2024-12-28,Baltic Exchange Market Monitor
336,weather,Russia-Paradip,26,Medium,[Vostochny / Russia-Paradip] Dense fog conditions restricting channel navigation to daylight hours only.,2023-06-06,India Meteorological Department (IMD)
337,freight_anomaly,India-Chennai,26,Low,[Vostochny / India-Chennai] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2023-01-10,Baltic Exchange Market Monitor
338,port_congestion,Australia-Gangavaram,23,Low,[Baltimore / Australia-Gangavaram] High yard inventory utilization (>92%) slowing down discharge rates.,2025-11-18,AIS Congestion Tracker
339,weather,Australia-Haldia,1,Low,[Paradip / Australia-Haldia] Dense fog conditions restricting channel navigation to daylight hours only.,2021-11-10,JTWC Cyclone Warning
340,geopolitical,Indonesia-Gangavaram,7,High,[Kolkata / Indonesia-Gangavaram] Canal transit quota reduction increasing reservation auction premiums.,2021-02-25,Maritime Security Advisory
341,freight_anomaly,Mozambique-Gangavaram,14,Medium,[Cochin / Mozambique-Gangavaram] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2025-08-24,Clarksons Intelligence
342,weather,Mozambique-Visakhapatnam,8,Low,[Chennai / Mozambique-Visakhapatnam] Dense fog conditions restricting channel navigation to daylight hours only.,2021-05-02,JTWC Cyclone Warning
343,weather,India-Haldia,24,Low,[Maputo / India-Haldia] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2024-03-30,India Meteorological Department (IMD)
344,weather,Australia-Gangavaram,4,Low,[Dhamra / Australia-Gangavaram] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2021-10-07,Marine Weather Routing Service
345,weather,Australia-Visakhapatnam,19,Medium,[Balikpapan / Australia-Visakhapatnam] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2024-02-23,India Meteorological Department (IMD)
346,freight_anomaly,Indonesia-Paradip,23,Medium,[Baltimore / Indonesia-Paradip] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2024-09-14,Clarksons Intelligence
347,freight_anomaly,Australia-Mundra,22,Low,[Norfolk (Hampton Roads) / Australia-Mundra] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2022-02-14,Clarksons Intelligence
348,freight_anomaly,Australia-Gopalpur,24,Low,[Maputo / Australia-Gopalpur] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2024-01-24,Baltic Exchange Market Monitor
349,weather,Australia-Dhamra,23,Medium,[Baltimore / Australia-Dhamra] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2022-07-08,Marine Weather Routing Service
350,weather,Russia-Paradip,26,Medium,[Vostochny / Russia-Paradip] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2023-06-24,JTWC Cyclone Warning
351,port_congestion,Indonesia-Dhamra,28,Low,[Singapore / Indonesia-Dhamra] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2025-08-21,Terminal Operations Log
352,geopolitical,Australia-Paradip,31,Low,[Rotterdam / Australia-Paradip] Canal transit quota reduction increasing reservation auction premiums.,2021-05-23,Maritime Security Advisory
353,port_congestion,Indonesia-Visakhapatnam,18,Low,[Port Hedland / Indonesia-Visakhapatnam] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2024-09-24,Port Authority Circular
354,weather,Australia-Gopalpur,19,Low,[Balikpapan / Australia-Gopalpur] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2024-10-12,India Meteorological Department (IMD)
355,weather,India-Haldia,30,Low,[Colombo / India-Haldia] Dense fog conditions restricting channel navigation to daylight hours only.,2025-03-24,Marine Weather Routing Service
356,port_congestion,Australia-Haldia,32,Medium,[Shanghai (Qingdao) / Australia-Haldia] High yard inventory utilization (>92%) slowing down discharge rates.,2021-08-04,Terminal Operations Log
357,geopolitical,Russia-Paradip,31,Medium,[Rotterdam / Russia-Paradip] Canal transit quota reduction increasing reservation auction premiums.,2021-07-02,Ministry Trade Notice
358,geopolitical,USA-Mundra,30,Low,[Colombo / USA-Mundra] Sanction compliance verification tightening on Far East coal flows.,2022-09-19,Maritime Security Advisory
359,port_congestion,India-Chennai,19,Medium,[Balikpapan / India-Chennai] High yard inventory utilization (>92%) slowing down discharge rates.,2024-10-01,Port Authority Circular
360,weather,India-Haldia,8,Low,[Chennai / India-Haldia] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2025-04-24,JTWC Cyclone Warning
361,freight_anomaly,USA-Gangavaram,27,Medium,[Vanino / USA-Gangavaram] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2021-01-21,Baltic Exchange Market Monitor
362,port_congestion,India-Haldia,12,Low,[Kandla (Deendayal) / India-Haldia] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2022-07-18,Port Authority Circular
363,port_congestion,Australia-Gangavaram,24,Low,[Maputo / Australia-Gangavaram] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2023-04-23,AIS Congestion Tracker
364,freight_anomaly,Australia-Gopalpur,3,Low,[Gangavaram / Australia-Gopalpur] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2022-11-21,Clarksons Intelligence
365,freight_anomaly,Australia-Gangavaram,17,Low,[Newcastle / Australia-Gangavaram] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2021-09-08,Baltic Exchange Market Monitor
366,port_congestion,Australia-Visakhapatnam,15,Low,[Hay Point / Australia-Visakhapatnam] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2022-11-25,AIS Congestion Tracker
367,port_congestion,Australia-Visakhapatnam,4,Medium,[Dhamra / Australia-Visakhapatnam] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2025-03-09,AIS Congestion Tracker
368,weather,India-Haldia,27,Medium,[Vanino / India-Haldia] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2022-04-27,JTWC Cyclone Warning
369,port_congestion,Mozambique-Visakhapatnam,22,Low,[Norfolk (Hampton Roads) / Mozambique-Visakhapatnam] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2024-05-18,AIS Congestion Tracker
370,port_congestion,Mozambique-Gangavaram,9,High,[Kamarajar (Ennore) / Mozambique-Gangavaram] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2022-09-22,Port Authority Circular
371,weather,USA-Visakhapatnam,25,Medium,[Beira / USA-Visakhapatnam] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2025-03-04,India Meteorological Department (IMD)
372,weather,India-Haldia,30,Low,[Colombo / India-Haldia] Dense fog conditions restricting channel navigation to daylight hours only.,2022-09-22,India Meteorological Department (IMD)
373,geopolitical,USA-Gangavaram,23,High,[Baltimore / USA-Gangavaram] Sanction compliance verification tightening on Far East coal flows.,2021-12-07,Lloyd's List Intelligence
374,freight_anomaly,USA-Gangavaram,14,High,[Cochin / USA-Gangavaram] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2023-06-26,Clarksons Intelligence
375,port_congestion,Indonesia-Gangavaram,10,Medium,[Tuticorin (V.O.C.) / Indonesia-Gangavaram] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2021-07-02,Port Authority Circular
376,port_congestion,Indonesia-Gangavaram,3,Medium,[Gangavaram / Indonesia-Gangavaram] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2023-10-26,Terminal Operations Log
377,weather,USA-Gangavaram,10,Low,[Tuticorin (V.O.C.) / USA-Gangavaram] Dense fog conditions restricting channel navigation to daylight hours only.,2025-08-16,Marine Weather Routing Service
378,weather,Indonesia-Mundra,22,Medium,[Norfolk (Hampton Roads) / Indonesia-Mundra] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2022-04-23,JTWC Cyclone Warning
379,weather,Indonesia-Paradip,18,Medium,[Port Hedland / Indonesia-Paradip] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2022-03-03,JTWC Cyclone Warning
380,weather,Indonesia-Haldia,18,Low,[Port Hedland / Indonesia-Haldia] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2026-02-08,Marine Weather Routing Service
381,port_congestion,USA-Gangavaram,14,Medium,[Cochin / USA-Gangavaram] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2023-06-07,AIS Congestion Tracker
382,weather,USA-Mundra,7,High,[Kolkata / USA-Mundra] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2024-02-25,Marine Weather Routing Service
383,geopolitical,USA-Gangavaram,5,Medium,[Gopalpur / USA-Gangavaram] Canal transit quota reduction increasing reservation auction premiums.,2025-08-02,Lloyd's List Intelligence
384,port_congestion,Australia-Dhamra,15,Medium,[Hay Point / Australia-Dhamra] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2022-06-04,AIS Congestion Tracker
385,freight_anomaly,Indonesia-Haldia,4,Medium,[Dhamra / Indonesia-Haldia] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2022-03-10,Clarksons Intelligence
386,weather,Indonesia-Haldia,14,High,[Cochin / Indonesia-Haldia] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2022-05-02,India Meteorological Department (IMD)
387,port_congestion,USA-Gangavaram,32,Medium,[Shanghai (Qingdao) / USA-Gangavaram] High yard inventory utilization (>92%) slowing down discharge rates.,2021-02-09,Terminal Operations Log
388,port_congestion,Australia-Paradip,25,Low,[Beira / Australia-Paradip] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2023-01-18,Terminal Operations Log
389,weather,Indonesia-Dhamra,20,Low,[Tanjung Priok / Indonesia-Dhamra] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2025-07-16,India Meteorological Department (IMD)
390,geopolitical,Russia-Paradip,18,Low,[Port Hedland / Russia-Paradip] Canal transit quota reduction increasing reservation auction premiums.,2024-10-09,Maritime Security Advisory
391,weather,USA-Gangavaram,8,High,[Chennai / USA-Gangavaram] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2023-08-30,Marine Weather Routing Service
392,port_congestion,USA-Mundra,2,Medium,[Visakhapatnam / USA-Mundra] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2025-06-21,Port Authority Circular
393,freight_anomaly,Australia-Paradip,6,Low,[Haldia / Australia-Paradip] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2022-04-20,Clarksons Intelligence
394,freight_anomaly,USA-Mundra,31,Medium,[Rotterdam / USA-Mundra] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2023-01-03,Clarksons Intelligence
395,port_congestion,Australia-Gopalpur,9,Medium,[Kamarajar (Ennore) / Australia-Gopalpur] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2021-07-08,AIS Congestion Tracker
396,weather,Australia-Mundra,22,High,[Norfolk (Hampton Roads) / Australia-Mundra] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2021-12-23,India Meteorological Department (IMD)
397,geopolitical,Russia-Paradip,24,Medium,[Maputo / Russia-Paradip] Sanction compliance verification tightening on Far East coal flows.,2025-10-15,Lloyd's List Intelligence
398,port_congestion,Australia-Haldia,1,Medium,[Paradip / Australia-Haldia] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2021-07-14,Terminal Operations Log
399,freight_anomaly,Mozambique-Gangavaram,27,Medium,[Vanino / Mozambique-Gangavaram] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2024-07-13,FreightIQ Anomaly Engine
400,weather,Indonesia-Gangavaram,7,Low,[Kolkata / Indonesia-Gangavaram] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2024-06-09,India Meteorological Department (IMD)
401,port_congestion,USA-Paradip,26,High,[Vostochny / USA-Paradip] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2025-03-26,Port Authority Circular
402,geopolitical,Russia-Paradip,7,Low,[Kolkata / Russia-Paradip] Sanction compliance verification tightening on Far East coal flows.,2023-07-15,Ministry Trade Notice
403,freight_anomaly,India-Chennai,8,Low,[Chennai / India-Chennai] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2022-08-15,FreightIQ Anomaly Engine
404,freight_anomaly,USA-Paradip,29,Medium,[Port Klang / USA-Paradip] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2023-04-05,FreightIQ Anomaly Engine
405,freight_anomaly,Australia-Dhamra,27,Medium,[Vanino / Australia-Dhamra] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2024-11-26,Clarksons Intelligence
406,port_congestion,India-Chennai,25,High,[Beira / India-Chennai] High yard inventory utilization (>92%) slowing down discharge rates.,2025-01-03,Terminal Operations Log
407,weather,Australia-Paradip,18,Medium,[Port Hedland / Australia-Paradip] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2025-01-27,JTWC Cyclone Warning
408,weather,Indonesia-Mundra,26,Low,[Vostochny / Indonesia-Mundra] Dense fog conditions restricting channel navigation to daylight hours only.,2024-05-17,JTWC Cyclone Warning
409,weather,USA-Paradip,3,Medium,[Gangavaram / USA-Paradip] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2021-03-10,Marine Weather Routing Service
410,port_congestion,Indonesia-Haldia,11,Medium,[Mundra / Indonesia-Haldia] High yard inventory utilization (>92%) slowing down discharge rates.,2025-06-19,Terminal Operations Log
411,geopolitical,India-Haldia,9,Medium,[Kamarajar (Ennore) / India-Haldia] Export tariff modification announced by major coal-producing authority.,2021-09-12,Maritime Security Advisory
412,weather,Mozambique-Gangavaram,28,Low,[Singapore / Mozambique-Gangavaram] Dense fog conditions restricting channel navigation to daylight hours only.,2025-02-18,India Meteorological Department (IMD)
413,freight_anomaly,Indonesia-Mundra,17,Low,[Newcastle / Indonesia-Mundra] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2025-10-21,Clarksons Intelligence
414,freight_anomaly,Australia-Gopalpur,27,Low,[Vanino / Australia-Gopalpur] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2024-08-20,FreightIQ Anomaly Engine
415,weather,Mozambique-Paradip,18,Low,[Port Hedland / Mozambique-Paradip] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2025-04-24,Marine Weather Routing Service
416,weather,India-Chennai,28,Low,[Singapore / India-Chennai] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2022-08-01,India Meteorological Department (IMD)
417,port_congestion,USA-Gangavaram,14,High,[Cochin / USA-Gangavaram] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2025-07-23,Port Authority Circular
418,port_congestion,Russia-Paradip,11,Low,[Mundra / Russia-Paradip] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2025-04-14,Terminal Operations Log
419,geopolitical,Indonesia-Visakhapatnam,15,High,[Hay Point / Indonesia-Visakhapatnam] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2023-07-30,Lloyd's List Intelligence
420,weather,India-Chennai,16,Low,[Gladstone / India-Chennai] Dense fog conditions restricting channel navigation to daylight hours only.,2021-07-28,Marine Weather Routing Service
421,geopolitical,Australia-Visakhapatnam,1,Medium,[Paradip / Australia-Visakhapatnam] Canal transit quota reduction increasing reservation auction premiums.,2025-06-13,Maritime Security Advisory
422,port_congestion,Australia-Haldia,29,Medium,[Port Klang / Australia-Haldia] High yard inventory utilization (>92%) slowing down discharge rates.,2022-12-14,Port Authority Circular
423,weather,Russia-Visakhapatnam,11,Medium,[Mundra / Russia-Visakhapatnam] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2022-05-02,India Meteorological Department (IMD)
424,freight_anomaly,Australia-Dhamra,4,High,[Dhamra / Australia-Dhamra] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2024-06-18,Clarksons Intelligence
425,freight_anomaly,Russia-Visakhapatnam,22,Medium,[Norfolk (Hampton Roads) / Russia-Visakhapatnam] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2025-11-07,FreightIQ Anomaly Engine
426,freight_anomaly,Australia-Visakhapatnam,30,Low,[Colombo / Australia-Visakhapatnam] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2023-11-06,FreightIQ Anomaly Engine
427,weather,USA-Paradip,15,Medium,[Hay Point / USA-Paradip] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2023-08-27,JTWC Cyclone Warning
428,port_congestion,Russia-Visakhapatnam,3,Medium,[Gangavaram / Russia-Visakhapatnam] High yard inventory utilization (>92%) slowing down discharge rates.,2022-11-25,Port Authority Circular
429,weather,Indonesia-Visakhapatnam,24,Low,[Maputo / Indonesia-Visakhapatnam] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2022-08-12,JTWC Cyclone Warning
430,weather,Australia-Gangavaram,4,Low,[Dhamra / Australia-Gangavaram] Dense fog conditions restricting channel navigation to daylight hours only.,2023-03-16,JTWC Cyclone Warning
431,port_congestion,Australia-Dhamra,12,Low,[Kandla (Deendayal) / Australia-Dhamra] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2023-05-15,AIS Congestion Tracker
432,freight_anomaly,India-Chennai,32,Medium,[Shanghai (Qingdao) / India-Chennai] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2026-01-24,Baltic Exchange Market Monitor
433,geopolitical,Indonesia-Paradip,22,Low,[Norfolk (Hampton Roads) / Indonesia-Paradip] Sanction compliance verification tightening on Far East coal flows.,2025-11-09,Lloyd's List Intelligence
434,geopolitical,USA-Visakhapatnam,5,High,[Gopalpur / USA-Visakhapatnam] Export tariff modification announced by major coal-producing authority.,2021-12-18,Lloyd's List Intelligence
435,port_congestion,USA-Mundra,6,Low,[Haldia / USA-Mundra] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2025-12-23,AIS Congestion Tracker
436,weather,Mozambique-Visakhapatnam,9,High,[Kamarajar (Ennore) / Mozambique-Visakhapatnam] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2022-03-16,India Meteorological Department (IMD)
437,freight_anomaly,Russia-Visakhapatnam,1,Low,[Paradip / Russia-Visakhapatnam] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2025-06-30,Clarksons Intelligence
438,freight_anomaly,Australia-Paradip,30,Medium,[Colombo / Australia-Paradip] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2024-04-07,FreightIQ Anomaly Engine
439,weather,Australia-Visakhapatnam,20,Low,[Tanjung Priok / Australia-Visakhapatnam] Dense fog conditions restricting channel navigation to daylight hours only.,2021-12-17,India Meteorological Department (IMD)
440,port_congestion,USA-Paradip,9,High,[Kamarajar (Ennore) / USA-Paradip] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2021-08-30,AIS Congestion Tracker
441,port_congestion,India-Chennai,17,Low,[Newcastle / India-Chennai] High yard inventory utilization (>92%) slowing down discharge rates.,2025-06-24,Port Authority Circular
442,weather,Indonesia-Paradip,12,Medium,[Kandla (Deendayal) / Indonesia-Paradip] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2023-03-18,JTWC Cyclone Warning
